route_id,flight_num,origin_airport,destination_airport,aircraft_id,distance_miles
1,1111,EWR,HNL,767-301ER,4962
2,1112,HNL,EWR,767-301ER,4962
3,1113,EWR,LHR,A321,3466
4,1114,JFK,LAX,767-301ER,2475
5,1115,LAX,JFK,767-301ER,2475
6,1116,HNL,LAX,767-301ER,2556
7,1117,LAX,ORD,A321,1745
8,1118,ORD,EWR,A321,719
9,1119,DEN,LAX,ERJ142,862
10,1120,HNL,DEN,A321,3365
12,1122,ABI,ADK,767-301ER,4300
13,1123,ADK,BQN,A321,2232
14,1124,BQN,CAK,A321,2445
15,1125,CAK,ANI,767-301ER,2000
16,1126,ALB,APN,A321,1700
17,1127,APN,BLV,767-301ER,1900
18,1128,ANI,BGR,ERJ142,2450
19,1129,ATW,AVL,A321,2222
20,1130,AVL,BOI,767-301ER,3134
21,1131,BFL,BET,A321,2425
22,1132,BGR,BJI,ERJ142,1242
23,1133,BLV,BFL,767-301ER,2354
24,1134,BJI,BQN,A321,1575
25,1135,RDM,BJI,A321,2425
26,1136,BET,BTM,ERJ142,1311
27,1137,BOI,CLD,A321,578
28,1138,BOS,CDC,767-301ER,246
29,1139,BKG,CRW,767-301ER,909
30,1140,BUR,STT,CRJ900,780
31,1141,BTM,CHA,ERJ142,660
32,1142,CLD,CHI,767-301ER,246
33,1143,CDC,CST,CRJ900,1345
34,1144,CRW,COD,A321,2452
35,1145,STT,CDB,ERJ142,2121
36,1146,CHA,COU,CRJ900,1212
37,1147,CHI,CST,767-301ER,999
38,1148,CST,DAL,A321,1111
39,1149,COD,SCC,CRJ900,1579
40,1150,CDB,DEC,A321,909
41,1151,CAE,DRT,ERJ142,898
42,1152,CSG,BOS,767-301ER,890
43,1153,CBM,BOI,A321,8989
44,1154,COU,CAK,767-301ER,7676
45,1155,CCR,EWR,CRJ900,676
46,1156,CDV,HNL,767-301ER,8668
47,1157,DAL,LAX,CRJ900,675
48,1158,SCC,DEN,A321,5645
49,1159,DEC,ABI,A321,4533
50,1160,DRT,ORD,A321,2445
